split,sequence,frame,person_index,person_id,person_id_valid,num_keys,keys,bbox_valid,bbox_source,bbox_area_pixels,has_j2d_visibility,j2d_source,visible_joints,total_joints,filter_reason_default,filter_reason_require_j2d
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0005,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0005,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0005,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0005,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0010,0,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0010,1,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0010,2,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0010,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0010,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0010,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0010,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0015,0,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0015,1,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0015,2,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0015,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0015,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0015,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0015,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0020,0,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0020,1,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0020,2,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0020,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0020,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0020,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0020,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0020,7,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0025,0,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0025,1,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0025,2,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0025,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0025,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0025,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0025,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0030,0,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0030,1,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0030,2,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0030,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0030,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0030,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0030,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0035,0,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0035,1,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0035,2,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0035,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0035,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0035,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0035,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0040,0,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0040,1,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0040,2,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0040,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0040,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0040,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0040,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0045,0,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0045,1,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0045,2,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0045,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0045,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0045,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0045,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0050,0,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0050,1,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0050,2,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0050,3,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0050,4,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0050,5,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
Training,20221013_3-10_500_batch01hand_static_highSchoolGym_seq_000000,seq_000000_0050,6,-1,0,10,"smplx_body_pose,smplx_gender,smplx_jaw_pose,smplx_left_hand_pose,smplx_leye_pose,smplx_reye_pose,smplx_right_hand_pose,smplx_root_pose,smplx_shape,smplx_transl",0,missing,0.0,0,missing,0,0,missing_box,missing_box
