region,valid,gate,logvar,uncertainty,vote_x_m,vote_y_m,vote_z_m,vote_norm_m
29,1,0.99999964,-0.3500006,0.70468765,0.0002014431665884331,0.00029382857610471547,0.0010615420760586858,0.001119726
30,1,0.9999993,1.7991843,6.0447145,0.0002730077540036291,0.0011954272631555796,0.014863488264381886,0.014913982
31,1,0.99999964,3.520603,33.804806,-0.0015549040399491787,0.0005835548508912325,0.01843995787203312,0.018514598
32,1,1.0,2.9176788,18.4983,0.0012809715699404478,0.007550109643489122,0.017213264480233192,0.018839892
33,1,0.9999995,0.8160137,2.261467,0.0007297801203094423,0.0025542080402374268,0.012245384976267815,0.012530204
34,1,0.9999995,4.0,54.59815,-0.0003916175046470016,0.0019788886420428753,-0.0018259341595694423,0.002720919
35,1,1.0,-1.6263393,0.19664812,-0.007825435139238834,-0.000610667746514082,0.07613915205001831,0.076542675
36,1,1.0,2.5722203,13.094867,0.001869472675025463,-0.00048532846267335117,0.0015758186345919967,0.0024927247
37,1,1.0,-0.45840353,0.6322923,-0.007125723175704479,0.0008062163251452148,0.04374636337161064,0.04433024
38,1,0.99999964,2.4434931,11.513187,-0.0003399574779905379,0.0020762134809046984,0.0032862338703125715,0.0039019953
39,1,0.99999833,4.0,54.59815,0.000350775575498119,9.290484740631655e-05,0.004319950472563505,0.004335164
40,1,0.9999995,4.0,54.59815,-0.0025540972128510475,-0.00024953935644589365,0.005465238820761442,0.0060377577
41,1,1.0,1.6347086,5.1279635,0.0018529564840719104,-0.0004740316071547568,0.0066243913024663925,0.0068949773
42,1,0.99999964,-0.51329905,0.5985178,-0.005116413347423077,-0.003960286267101765,0.009925762191414833,0.0118483035
43,1,1.0,4.0,54.59815,0.0004711260262411088,-0.00036896951496601105,0.0022120531648397446,0.0022915665
44,1,1.0,2.1266625,8.386829,0.0017553709913045168,-0.00020217685960233212,0.0053175948560237885,0.0056034825
45,1,0.99999964,3.2005205,24.545301,-0.0004124194965697825,0.0025218366645276546,0.0007904755184426904,0.0026748087
46,1,0.99999964,4.0,54.59815,0.00014167056360747665,0.00023069072631187737,0.0009270571754314005,0.0009657763
47,1,1.0,4.0,54.59815,-5.545730346057098e-06,0.00031325971940532327,0.00784838106483221,0.007854632
48,1,1.0,-0.74433357,0.47505078,-0.0011054174974560738,-0.0017220709705725312,0.0018550768727436662,0.0027620257
49,1,0.9999999,0.9629919,2.6195219,1.4567778634955175e-05,-0.000961362209636718,0.0007192931370809674,0.0012007548
50,1,1.0,0.5293248,1.6977856,-0.0028596946503967047,-0.00030851288465783,0.042144548147916794,0.042242583
51,1,0.9999982,2.4760475,11.894159,0.0004076080513186753,-0.012138198129832745,-0.014850474894046783,0.019184332
52,1,1.0,1.0240022,2.7843158,-0.003699652384966612,-0.0006977816810831428,0.046384960412979126,0.0465375
53,1,0.99999917,4.0,54.59815,0.00041207356844097376,-0.0059538367204368114,-0.014859244227409363,0.016012967
54,1,1.0,0.6307189,1.878961,-0.0030968235805630684,-0.00024303830286953598,0.050749387592077255,0.050844368
55,1,1.0,2.1219075,8.347044,0.00022018040181137621,-0.00625457102432847,-0.0040657613426446915,0.0074631465
56,1,1.0,4.0,54.59815,0.0007050455897115171,-0.002683123806491494,-0.009505297057330608,0.009901864
57,1,1.0,0.48682955,1.6271492,-0.002812871476635337,-0.0006205607205629349,0.045838117599487305,0.045928538
58,1,1.0,0.62394553,1.8662769,-0.0033783360850065947,-0.0006796304369345307,0.05434095486998558,0.05445011
59,1,1.0,1.7951412,6.0203247,-0.0034594140015542507,0.0005330006824806333,0.03397553414106369,0.03415536
60,1,0.9999982,1.9777964,7.226801,2.6539422833593562e-05,-0.011959078721702099,-0.024529533460736275,0.027289527
61,1,1.0,0.5111698,1.6672404,-0.003335049143061042,-0.0010519495699554682,0.050521641969680786,0.050642524
62,1,1.0,1.0787958,2.9411356,-0.0037297073286026716,-0.0005891848704777658,0.0467112772166729,0.046863645
63,1,1.0,1.5170746,4.5588694,-0.003371238010004163,0.00016360005247406662,0.035916768014431,0.03607501
64,1,1.0,1.1611154,3.1934934,-0.003035987727344036,0.00017548957839608192,0.040681928396224976,0.040795434
65,1,1.0,1.3094562,3.704159,0.0003353858774062246,-0.010616675019264221,-0.021810811012983322,0.024259798
66,1,1.0,2.719655,15.175087,0.0010219147661700845,-0.005626450292766094,-0.015408762730658054,0.01643567
67,1,1.0,1.9469024,7.0069494,0.0005103314761072397,-0.01152608823031187,-0.0117443036288023,0.016463287
68,1,1.0,0.8923549,2.4408708,-0.003565412713214755,-0.0006502442993223667,0.048396505415439606,0.048532017
69,1,0.99999785,3.9542158,52.154774,0.0011749443365260959,-0.011171318590641022,-0.0133089330047369,0.017415699
70,1,0.9999962,-0.97209805,0.37828854,-3.798136822297238e-05,0.004099358804523945,0.00807369314134121,0.009054871
71,1,0.9999987,-0.016049856,0.9840783,-0.0020903972908854485,0.002469247207045555,0.016727589070796967,0.017037582
72,1,1.0,-1.7781944,0.16894291,0.0010867429664358497,0.00714451726526022,0.03626429662108421,0.03697735
73,1,0.9999875,-1.9513292,0.14208508,-0.000934761599637568,0.010995294898748398,0.06185835227370262,0.06283491
74,1,0.999995,-0.38572016,0.6799608,-0.0011446886928752065,0.00828779861330986,0.041883260011672974,0.042710718
75,1,0.999992,-1.6757202,0.18717332,-0.004166450817137957,0.005469541065394878,0.04370657727122307,0.044244096
76,1,0.9999968,-1.1517898,0.31607056,0.0003096617292612791,0.00015222272486425936,0.006918375380337238,0.006926975
77,1,0.9999989,-1.6499285,0.19206364,-0.0008347147959284484,0.007919073104858398,0.03025941364467144,0.031289626
78,1,1.0,-3.0941205,0.04531485,0.0019249669276177883,0.011578716337680817,0.07399744540452957,0.074922584
79,1,0.99999905,0.39687502,1.48717,0.0001529602741356939,0.006573058664798737,0.035818591713905334,0.03641703
80,1,0.9999999,-0.96236175,0.38198963,0.0005415609921328723,0.005684187635779381,0.025891823694109917,0.026513955
81,1,0.9999999,0.5771783,1.7810059,0.0006857865955680609,0.004025267902761698,-0.0015071111265569925,0.0043525244
82,1,1.0,-2.3417172,0.096162364,-0.0006643777596764266,0.0098640788346529,0.06394805014133453,0.06470776
83,1,0.99999774,-1.2704338,0.28070983,-0.002167060039937496,0.008891673758625984,0.05006226524710655,0.05089193
84,1,0.99999917,0.56788164,1.7645252,-0.002688770182430744,0.005919206887483597,0.03262772038578987,0.033269126
85,1,0.99999845,-0.7153961,0.48899835,-0.0004174339701421559,0.004265164490789175,0.004288751631975174,0.006062942
86,1,0.9999982,-0.48204052,0.617522,-0.0068040997721254826,0.009739581495523453,0.03872118517756462,0.040502906
87,1,1.0,1.702161,5.485789,0.0018823746358975768,-0.0011720675975084305,0.008605509996414185,0.008886613
88,1,0.99999976,1.2870367,3.6220374,-0.0005575615214183927,0.0003112754784524441,0.013472206890583038,0.0134873325
89,1,0.99999785,-0.8034085,0.4478,-0.007390561047941446,0.010817645117640495,0.041427504271268845,0.04344974
90,1,0.9999999,1.2611619,3.52952,-0.0005455962964333594,0.0028799937572330236,0.004540248773992062,0.005404248
91,1,0.9999995,2.0023215,7.40623,-0.002002766588702798,0.003562720725312829,0.013809136115014553,0.01440126
92,1,0.99999845,0.12408033,1.1321068,-0.0041031907312572,0.007089655846357346,0.03120865300297737,0.032265764
93,1,0.9999999,1.6765708,5.347188,-0.0005289291148073971,-0.0029834976885467768,0.012385089881718159,0.012750352
94,1,0.9999995,0.13433157,1.143772,-0.001647552358917892,0.005237692501395941,0.020311802625656128,0.021040846
95,1,0.99999976,1.4548708,4.28393,-0.004288108088076115,0.004714370239526033,0.01879635453224182,0.01984732
